Title,Year,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID,merge_title,Winner,_merge,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_Science_Fiction,Genre_TV_Movie,Genre_Thriller,Genre_War,Genre_Western,Nominee
Bad Boys for Life,2020,7.127,8541,90000000,426505244,38700,bad boys for life,0,left_only,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
Bad Boys: Ride or Die,2024,7.346,3113,100000000,404547819,573435,bad boys: ride or die,0,left_only,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
Bad Moms,2016,6.494,4176,20000000,183936074,376659,bad moms,0,left_only,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Bad Times at the El Royale,2018,6.845,3739,32000000,31882724,446021,bad times at the el royale,0,left_only,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,0
Barbarian,2022,6.84,2964,4500000,45400000,913290,barbarian,0,left_only,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0
Barbie,2023,6.946,10463,145000000,1447138421,346698,barbie,0,both,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
Batman v Superman: Dawn of Justice,2016,5.987,18594,250000000,874362803,209112,batman v superman: dawn of justice,0,left_only,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
Baywatch,2017,6.091,8324,69000000,177900000,339846,baywatch,0,left_only,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Beast,2022,6.542,1665,0,56000000,760741,beast,0,left_only,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0
Beating Hearts,2024,7.2,917,37315205,36010728,959604,beating hearts,0,left_only,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0
Beau Is Afraid,2023,6.7,1225,35000000,12337378,798286,beau is afraid,0,left_only,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
Beautiful Boy,2018,7.552,2742,25000000,7700000,451915,beautiful boy,0,left_only,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
Beauty and the Beast,2017,6.969,15820,160000000,1266115964,321612,beauty and the beast,0,left_only,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,0
Beetlejuice Beetlejuice,2024,7.0,2844,99000000,452000435,917496,beetlejuice beetlejuice,0,left_only,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,0
Before I Fall,2017,6.963,3484,5000000,16373843,397837,before i fall,0,left_only,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,0
Belfast,2021,7.1,1610,11000000,49158343,777270,belfast,0,both,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,1
Beverly Hills Cop: Axel F,2024,6.7,1325,150000000,0,280180,beverly hills cop: axel f,0,left_only,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Bird Box,2018,6.826,10302,19800000,0,405774,bird box,0,left_only,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,0
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,6.9,10581,75000000,205537933,495764,birds of prey (and the fantabulous emancipation of one harley quinn),0,left_only,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Black Adam,2022,6.8,6766,200000000,393452111,436270,black adam,0,left_only,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Black Mass,2015,6.523,3487,53000000,99975678,261023,black mass,0,left_only,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,0
Black Mirror: Bandersnatch,2018,6.763,4054,0,0,569547,black mirror: bandersnatch,0,left_only,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,0
